field_id,phenotype,n_cells,panel,pct_of_field
A_CFA_20x,CD11c+,4,A,0.6
A_CFA_20x,CD11c+/SYK+,38,A,6.1
A_CFA_20x,CD207+,5,A,0.8
A_CFA_20x,SYK+,213,A,34.2
A_CFA_20x,none,362,A,58.2
A_CFA_40x,CD11c+,28,A,6.1
A_CFA_40x,CD11c+/CD207+,2,A,0.4
A_CFA_40x,CD11c+/CD207+/SYK+,6,A,1.3
A_CFA_40x,CD11c+/SYK+,23,A,5.0
A_CFA_40x,CD207+,1,A,0.2
A_CFA_40x,SYK+,75,A,16.4
A_CFA_40x,none,321,A,70.4
B_1.1_40x,F4-80+,7,B,1.2
B_1.1_40x,F4-80+/SYK+,21,B,3.6
B_1.1_40x,SYK+,6,B,1.0
B_1.1_40x,none,552,B,94.2
B_1.2_40x,F4-80+,19,B,2.5
B_1.2_40x,F4-80+/SYK+,7,B,0.9
B_1.2_40x,SYK+,2,B,0.3
B_1.2_40x,none,744,B,96.4
B_1_40x,F4-80+,23,B,2.2
B_1_40x,F4-80+/SYK+,296,B,28.6
B_1_40x,SYK+,201,B,19.4
B_1_40x,none,515,B,49.8
B_X_40x,F4-80+,44,B,6.8
B_X_40x,F4-80+/SYK+,29,B,4.5
B_X_40x,SYK+,4,B,0.6
B_X_40x,none,569,B,88.1
